entry_time,entry_price,direction,size,sl,tp,status,pnl,reason,exit_price,fees
2024-01-23 15:00:00,39211.8408,long,0.18494297838090576,38400.78,41239.49279999999,closed,364.5481787590653,TP,41231.24490144,8.92643031586486
2024-01-26 16:00:00,41969.532228,long,0.04356374798496829,38400.78,50891.41279799999,closed,385.80019612554526,TP,50881.23451544039,2.426956441573387
2024-04-09 01:00:00,71261.20490800001,short,0.08821512581180382,73089.18196,66691.26227800004,closed,394.65902590900566,TP,66704.60053045563,7.302402530688127
2024-04-13 16:00:00,67418.88352599999,short,0.029482594780108166,73089.18196,53243.13744099996,closed,415.4891823093489,TP,53253.78606848816,2.134646051212904
2024-08-08 12:00:00,57936.204924,long,0.029666460087233882,52090.96932,72549.293934,closed,430.765798287179,TP,72534.7840752132,2.3223674326122534
2024-11-26 08:00:00,93124.22143,short,0.03649354270378785,98053.00944,80802.25140500003,closed,-184.7710661177489,SL,98072.62004188799,4.186470059450221
2024-12-01 01:00:00,96087.398676,short,0.211311024194101,96925.48732,93992.17706599999,closed,-205.66756267266885,SL,96944.872417464,24.47390814436394
2024-12-02 07:00:00,95980.79000200001,short,0.18419905823104868,96925.48732,93619.04670700003,closed,-198.90510818134052,SL,96944.872417464,21.32203519575989
2024-12-02 16:00:00,96148.226508,short,0.2200403996004848,96925.48732,94205.07447800002,closed,398.29242739997596,TP,94223.91549289563,25.133737319206382
2024-12-04 13:00:00,95646.376898,short,0.1383798951465941,96925.48732,92448.60084300001,closed,-195.67612796360467,SL,96944.872417464,15.99045413185528
2024-12-09 20:00:00,96232.75959799999,short,0.25127913699665494,96925.48732,94500.94029299996,closed,-208.0639999151116,SL,96944.872417464,29.1249051959419
2024-12-17 15:00:00,106457.174306,short,0.11224026688976904,107980.22008,102649.559871,closed,410.9798776373651,TP,102670.0897829742,14.083499961164206
2024-12-19 13:00:00,101932.049512,short,0.02928352637088775,107980.22008,86811.623092,closed,-181.43273298240132,SL,108001.816124016,3.6885623342968072
2025-01-20 17:00:00,102942.72733600001,short,0.05211975272090619,106288.68088,94577.84347600004,closed,-182.0419376051887,SL,106309.93861617599,6.543718323370679
2025-01-22 13:00:00,104053.125212,short,0.0767861184232614,106288.68088,98464.236042,closed,-182.98371919085562,SL,106309.93861617599,9.69177787859425
2025-01-23 20:00:00,103263.823104,short,0.047144857525015516,106846.71412,94306.59556399997,closed,-175.86632437775052,SL,106868.083462824,5.9439832779316735
2025-01-26 09:00:00,104609.103994,short,0.07431003715940114,106846.71412,99015.078679,closed,405.14099090679446,TP,99034.8816947358,9.079675286291106
2025-01-27 13:00:00,100463.893202,short,0.027002795267036854,106846.71412,84506.840907,closed,427.4315220539164,TP,84523.7422751814,2.9971099486341437
2025-03-02 17:00:00,94112.56874999999,long,0.20570436922057553,93243.528,96285.17062499996,closed,-205.72327847677136,SL,93224.8792944,23.12167894881938
2025-03-20 15:00:00,84674.821648,short,0.11417640801746722,86213.49003999999,80828.15066800002,closed,-189.3563688376706,SL,86230.73273800798,11.708029386016968
2025-03-28 14:00:00,84155.175598,short,0.08397127332404311,86213.49003999999,79009.38949300002,closed,-182.87168891094817,SL,86230.73273800798,8.584513007668967
2025-04-02 16:00:00,87082.59303599999,long,0.029508244124513118,81318.23075999999,101493.49872599999,closed,-173.5573605279703,SL,81301.96711384799,2.9812396246202866
2025-04-03 15:00:00,82055.71786199999,long,0.22711291953472387,81318.23075999999,83899.43561699998,closed,392.30914388841984,TP,83882.65572987658,22.612049093576886
2025-04-04 08:00:00,84432.873198,long,0.05566529367784472,81318.23075999999,92219.47929300003,closed,-179.81821378723836,SL,81301.96711384799,5.53540713516583
2025-04-06 18:00:00,79091.47854000001,short,0.017483209999104108,88854.0,54685.17489000004,closed,-172.75282549039815,SL,88871.7708,1.7619220562058624
2025-05-29 14:00:00,107644.064508,long,0.1291290938257851,106342.35227999999,110898.34507800001,closed,-187.41277416815382,SL,106321.083809544,16.577475427526494
2025-06-12 15:00:00,106999.54581,short,0.10593892072655661,108559.66864,103099.23873499998,closed,397.65398385674683,TP,103119.85858274698,13.355893755044708
2025-06-14 00:00:00,105805.15473600001,short,0.06216797029785973,108559.66864,98918.86997600003,closed,-180.5891108756624,SL,108581.380573728,7.9967854556377365
2025-06-16 22:00:00,107678.469998,short,0.19125506312999704,108559.66864,105475.473393,closed,392.8372278339653,TP,105496.5684876786,24.462483265990805
2025-06-17 14:00:00,104826.360534,short,0.04672163544256046,108559.66864,95493.09026900001,closed,-181.4231325840738,SL,108581.380573728,5.982455208393355
2025-06-30 15:00:00,107601.976092,long,0.017530254058055358,97807.2,132088.916322,closed,-174.20814962290947,SL,97787.63855999999,2.160319275441389
